epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
20,9640.33,0.82401,2.73634,0.25611,0.41607,0.01421,1.78131,0.95866,0.96624,0.98814,0.84293,0.84716,0.79183,0.78885,0.64153,0.65666,1.9849,0.09993,0.25756,0.01477,0,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,10093,0.82783,2.72615,0.25591,0.41239,0.01414,1.70682,0.9659,0.96744,0.98875,0.85211,0.88019,0.83267,0.84113,0.69056,0.63743,1.7233,0.10054,0.24321,0.01415,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,10562.1,0.81336,2.66269,0.25315,0.4034,0.01392,1.64343,0.96757,0.96964,0.98964,0.85782,0.86661,0.82133,0.82447,0.69084,0.62439,1.79225,0.10073,0.2402,0.01381,0,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,11015.1,0.8038,2.60273,0.24775,0.40996,0.01371,1.54947,0.96733,0.96967,0.98946,0.85823,0.87391,0.83752,0.83979,0.69947,0.61966,1.70168,0.09394,0.24054,0.01373,0,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,11487.3,0.8044,2.56969,0.24695,0.40186,0.01373,1.48825,0.96891,0.97196,0.99054,0.86433,0.88413,0.84018,0.83685,0.69459,0.60577,1.66461,0.09053,0.22994,0.0133,0,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,11997.4,0.80459,2.56632,0.24467,0.40662,0.01374,1.46229,0.97128,0.97286,0.99002,0.86494,0.87952,0.84784,0.84658,0.70713,0.596,1.64883,0.09297,0.2286,0.01311,0,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,12471.5,0.80012,2.54843,0.24258,0.40288,0.01376,1.47509,0.96658,0.97316,0.98973,0.8698,0.87861,0.85345,0.85159,0.70892,0.58407,1.60908,0.08486,0.22571,0.01282,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,12934.7,0.78942,2.4779,0.242,0.38985,0.01339,1.33134,0.96595,0.97133,0.98925,0.86721,0.88403,0.85561,0.85951,0.7159,0.58931,1.5689,0.08325,0.22692,0.01297,0,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,13363.1,0.78705,2.47418,0.23815,0.39517,0.0135,1.33343,0.96821,0.97046,0.98971,0.86761,0.89093,0.85115,0.86258,0.72202,0.58619,1.54215,0.08915,0.22367,0.01293,0,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,13827.9,0.78532,2.43813,0.23669,0.38839,0.01342,1.25345,0.96802,0.976,0.99082,0.87272,0.88168,0.85469,0.8527,0.72043,0.57389,1.55498,0.08624,0.21454,0.01252,0,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,14303.5,0.78746,2.48829,0.23321,0.39153,0.01346,1.33022,0.96973,0.97567,0.99045,0.87429,0.90333,0.86619,0.87572,0.73148,0.57032,1.46372,0.08091,0.21638,0.01251,0,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,14765.9,0.77545,2.3659,0.23235,0.37742,0.01314,1.10849,0.97409,0.97579,0.99082,0.87461,0.8678,0.84325,0.83656,0.71577,0.56924,1.64282,0.08054,0.21518,0.01245,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,15296.4,0.7778,2.41248,0.23128,0.38364,0.01327,1.17958,0.9708,0.97865,0.99123,0.87626,0.89593,0.87327,0.87591,0.73548,0.56206,1.46305,0.07708,0.20783,0.01225,0,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,15815.6,0.76709,2.34444,0.23013,0.37328,0.01305,1.09271,0.96993,0.97818,0.99076,0.87809,0.8926,0.87142,0.87292,0.73381,0.55945,1.45198,0.07829,0.21269,0.01219,0,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,16295.2,0.76893,2.34505,0.22793,0.37578,0.01311,1.06429,0.97124,0.9777,0.99103,0.87807,0.88043,0.85864,0.85481,0.73046,0.55921,1.53129,0.0745,0.21064,0.0122,0,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,16778.3,0.77125,2.34697,0.22499,0.37417,0.01301,1.0353,0.96927,0.97685,0.99043,0.88109,0.88665,0.86228,0.86232,0.73383,0.54925,1.50186,0.07719,0.21447,0.01195,0,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,17265.1,0.75679,2.29573,0.22569,0.37328,0.01296,1.02729,0.97105,0.97476,0.99075,0.88079,0.90685,0.86823,0.87768,0.74394,0.5478,1.4034,0.07335,0.21045,0.01193,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,17737.6,0.75836,2.2954,0.22274,0.35908,0.01281,0.95556,0.97103,0.97834,0.99122,0.88251,0.89435,0.85336,0.86492,0.74112,0.54579,1.47417,0.07217,0.20909,0.01186,0,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,18205.9,0.76227,2.30888,0.22387,0.36948,0.01286,0.98068,0.97375,0.97843,0.9915,0.88375,0.88945,0.87154,0.86473,0.74157,0.54147,1.43892,0.0735,0.20449,0.01177,0,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,18663.3,0.74921,2.24793,0.22116,0.36695,0.01277,0.91993,0.9704,0.97757,0.99112,0.88388,0.8969,0.87362,0.87641,0.74941,0.54007,1.40373,0.07318,0.20971,0.01176,0,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,19132.1,0.75217,2.24649,0.22175,0.36757,0.01277,0.90488,0.97761,0.97386,0.99138,0.88353,0.90061,0.88221,0.87798,0.75188,0.54168,1.37924,0.07203,0.20138,0.01182,0,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,19599.9,0.74077,2.18736,0.21852,0.36845,0.01249,0.80424,0.97737,0.97451,0.99129,0.88483,0.90714,0.88339,0.88876,0.75672,0.53601,1.35221,0.07084,0.20132,0.01165,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,20072.6,0.74999,2.2037,0.21723,0.35766,0.01267,0.80193,0.9751,0.97826,0.99136,0.88773,0.91347,0.88276,0.88985,0.75892,0.53101,1.33633,0.06973,0.19757,0.01152,0,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,20540.4,0.74199,2.17461,0.21663,0.35512,0.01253,0.79199,0.97472,0.97783,0.99111,0.88608,0.91498,0.88323,0.89,0.7587,0.5309,1.3282,0.0697,0.1994,0.01151,0,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,21000.8,0.7421,2.16995,0.21426,0.3575,0.01243,0.71863,0.97627,0.97523,0.99127,0.88593,0.91168,0.8862,0.89025,0.76111,0.52928,1.31093,0.06864,0.20224,0.01145,0,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,21465.3,0.73261,2.12203,0.21496,0.35279,0.0123,0.66655,0.97213,0.97776,0.99081,0.88625,0.91027,0.88557,0.88869,0.76,0.5305,1.3087,0.06811,0.20317,0.01148,0,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,21940.4,0.73962,2.17371,0.21541,0.35652,0.01244,0.72561,0.97452,0.97475,0.99091,0.88719,0.9101,0.89017,0.88913,0.76268,0.52719,1.29016,0.06781,0.19938,0.01141,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,22464.1,0.73615,2.1657,0.21372,0.35284,0.01245,0.74733,0.97312,0.97885,0.99102,0.88785,0.91125,0.88951,0.88991,0.76292,0.52338,1.29635,0.06725,0.19806,0.0113,0,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
